observation_id,event_id,location_name_raw,depth_text_raw,traffic_text_raw,depth_min_cm,depth_max_cm,traffic_status,observed_at_local,as_of_local,is_flooded,source_grade,source_publisher,source_url,source_visualisation_id,source_visualisation_version,source_updated_at_utc
VNE_20251007_097,hanoi_matmo_2025_10_07,Đường: 423:Cầu 72 II Km8+400,50 cm,Phương án phân luồng theo chỉ đạo của Sở Xây Dựng,50,50,diverted,,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_098,hanoi_matmo_2025_10_07,Đường Tây Mỗ,50 cm,Các phương tiện không lưu thông được,50,50,impassable,,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_099,hanoi_matmo_2025_10_07,Phố Trần Thái Tông (đoạn trước SN 96),35 - 40  cm,Lúc 7h00 các phương tiện không lưu thông được,35,40,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_100,hanoi_matmo_2025_10_07,Ngọc Khánh,Ngập sâu 15 - 30 cm,Lúc 7h00 các phương tiện không lưu thông được,15,30,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_101,hanoi_matmo_2025_10_07,Võ Chí Công  (đoạn tòa LOTTE),Ngập sâu 20 - 40 cm,Lúc 7h00 các phương tiện không lưu thông được,20,40,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_102,hanoi_matmo_2025_10_07,Nguyễn Sơn,Ngập sâu 15 - 30 cm,Lúc 7h00 các phương tiện không lưu thông được,15,30,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_103,hanoi_matmo_2025_10_07,Ngọc Lâm,Ngập sâu 15 - 30 cm,Lúc 7h00 các phương tiện không lưu thông được,15,30,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_104,hanoi_matmo_2025_10_07,Lệ Mật,Ngập sâu cục bộ 10 - 30 cm,Lúc 7h00 các phương tiện không lưu thông được,10,30,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_105,hanoi_matmo_2025_10_07,Hoa Lâm,Ngập sâu cục bộ 15 - 30 cm,Lúc 7h00 các phương tiện không lưu thông được,15,30,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
VNE_20251007_106,hanoi_matmo_2025_10_07,Nút Liễu Giai /Đào Tấn,Ngập sâu cục bộ 20 - 30 cm,Lúc 7h00 các phương tiện không lưu thông được,20,30,impassable,2025-10-07T07:00:00+07:00,2025-10-07T10:00:00+07:00,True,B,VnExpress,https://vnexpress.net/ha-noi-mua-lon-nhieu-tuyen-pho-nguy-co-ngap-4948058.html,25498819,141,2025-10-07T04:14:14.057000+00:00
