model,ward_code,ward_latitude,ward_longitude,grid_latitude,grid_longitude,elevation_m
era5,09931,20.969728,105.657817,21.000000,105.750000,8
era5,09952,20.949224,105.556508,21.000000,105.500000,22
era5,09955,21.066639,105.561778,21.000000,105.500000,7
era5,09982,21.016112,105.571147,21.000000,105.500000,7
era5,09988,21.013518,105.506760,21.000000,105.500000,28
era5,10003,21.040367,105.611553,21.000000,105.500000,8
era5,10015,20.926076,105.702572,21.000000,105.750000,32
era5,10030,20.918262,105.639410,21.000000,105.750000,13
era5,10045,20.861247,105.602474,20.750000,105.500000,43
era5,10072,20.871213,105.699299,20.750000,105.750000,7
era5,10081,20.837000,105.662741,20.750000,105.750000,10
era5,10096,20.832216,105.725084,20.750000,105.750000,6
era5,10114,20.844084,105.767749,20.750000,105.750000,7
era5,10126,20.903900,105.757520,21.000000,105.750000,6
era5,10144,20.878621,105.793431,21.000000,105.750000,5
era5,10180,20.810523,105.794513,20.750000,105.750000,4
era5,10183,21.002164,105.749066,21.000000,105.750000,12
era5,10210,20.879735,105.898173,21.000000,106.000000,7
era5,10231,20.829099,105.848112,20.750000,105.750000,5
era5,10237,20.835391,105.898268,20.750000,106.000000,6
era5,10273,20.763344,105.922669,20.750000,106.000000,6
era5,10279,20.771869,105.842065,20.750000,105.750000,4
era5,10330,20.715496,105.881202,20.750000,106.000000,3
era5,10342,20.697191,105.953317,20.750000,106.000000,6
era5,10354,20.736198,105.775036,20.750000,105.750000,7
era5,10369,20.773198,105.770779,20.750000,105.750000,9
era5,10402,20.692410,105.840469,20.750000,105.750000,4
era5,10417,20.667313,105.799737,20.750000,105.750000,4
era5,10441,20.653927,105.697366,20.750000,105.750000,4
era5,10459,20.781164,105.683833,20.750000,105.750000,6
era5,10465,20.715853,105.714055,20.750000,105.750000,5
era5,10489,20.619999,105.752416,20.500000,105.750000,5
